,client_id,trans_date,small_group,amount_rur
0,33172,6,4,71.46300000000001
1,33172,6,35,45.016999999999996
2,33172,8,11,13.887
3,33172,9,11,15.982999999999999
4,33172,10,11,21.340999999999998
5,33172,11,11,17.941
6,33172,12,11,17.726
7,33172,13,18,47.397
8,33172,13,1,220.00900000000001
9,33172,13,11,9.067
10,33172,16,3,18.319000000000003
11,33172,16,1,9.846
12,33172,16,11,19.666
13,33172,17,82,2.544
14,33172,19,3,16.387999999999998
15,33172,19,32,45.795
16,33172,19,1,4.184
17,33172,19,11,15.479000000000001
18,33172,20,1,35.17
19,33172,23,11,18.847
20,33172,24,3,12.937999999999999
21,33172,24,1,6.457000000000001
22,33172,24,12,28.073
23,33172,24,11,15.612
24,33172,25,11,12.639000000000001
25,33172,28,82,9.877
26,33172,29,1,20.355999999999998
27,33172,31,1,6.4479999999999995
28,33172,32,11,4.27
29,33172,33,1,14.985999999999999
30,33172,34,4,26.331999999999997
31,33172,34,40,242.898
32,33172,35,1,79.635
33,33172,35,11,7.556
34,33172,37,4,8.568999999999999
35,33172,37,9,285.893
36,33172,37,11,7.504
37,33172,38,35,11.77
38,33172,38,11,13.189
39,33172,40,18,53.077
40,33172,41,24,263.941
41,33172,42,18,23.03
42,33172,43,1,28.164
43,33172,45,1,14.491
44,33172,45,11,7.1160000000000005
45,33172,47,18,12.507
46,33172,47,1,60.81
47,33172,48,82,2.702
48,33172,49,9,340.625
49,33172,50,3,21.564
50,33172,51,3,4.313
51,33172,54,1,22.76
52,33172,55,18,85.637
53,33172,55,1,11.22
54,33172,56,33,126.624
55,33172,56,1,246.122
56,33172,57,3,6.468999999999999
57,33172,57,1,22.211
58,33172,58,82,10.487
59,33172,58,1,23.983
60,33172,59,1,15.02
61,33172,61,11,16.0
62,33172,62,18,73.959
63,33172,63,4,4.045
64,33172,63,25,9.158999999999999
65,33172,63,15,8.198
66,33172,63,9,579.997
67,33172,64,12,18.89
68,33172,68,1,33.855
69,33172,70,23,439.47
70,33172,70,33,126.624
71,33172,70,9,551.99
72,33172,71,18,46.482
73,33172,71,1,46.75
74,33172,71,11,16.0
75,33172,72,24,316.341
76,33172,73,12,12.365
77,33172,73,11,6.125
78,33172,74,12,12.075999999999999
79,33172,74,11,13.189
80,33172,75,12,14.7
81,33172,75,11,15.009
82,33172,76,4,19.692
83,33172,76,82,2.702
84,33172,76,1,45.111999999999995
85,33172,77,46,551.696
86,33172,77,25,12.937999999999999
87,33172,77,32,64.691
88,33172,77,9,621.03
89,33172,77,11,48.818000000000005
90,33172,78,18,45.715
91,33172,78,12,18.914
92,33172,78,11,11.600999999999999
93,33172,79,1,55.641999999999996
94,33172,79,12,10.006
95,33172,79,11,19.925
96,33172,80,12,13.83
97,33172,80,11,1.984
98,33172,81,12,11.127
99,33172,81,11,2.372
100,33172,82,12,19.509
101,33172,82,11,10.853
102,33172,84,31,34.157
103,33172,84,11,40.895
104,33172,85,25,21.564
105,33172,85,1,37.14
106,33172,85,12,20.916999999999998
107,33172,85,9,861.775
108,33172,85,11,12.075999999999999
109,33172,86,12,11.77
110,33172,86,11,14.151
111,33172,87,82,11.495
112,33172,87,12,22.119
113,33172,87,11,13.968
114,33172,88,12,13.189
115,33172,88,11,7.331
116,33172,89,1,29.263
117,33172,89,11,6.468999999999999
118,33172,90,28,40.497
119,33172,91,18,94.882
120,33172,92,1,16.692
121,33172,92,11,12.502
122,33172,93,3,27.476999999999997
123,33172,93,12,16.395
124,33172,93,11,31.873
125,33172,94,32,7.331
126,33172,94,1,23.63
127,33172,94,12,29.811999999999998
128,33172,94,11,17.337
129,33172,95,11,10.954
130,33172,96,80,11.989
131,33172,96,24,362.286
132,33172,96,32,11.677999999999999
133,33172,96,11,20.572
134,33172,97,32,187.761
135,33172,98,36,55.04600000000001
136,33172,98,1,33.251999999999995
137,33172,98,9,895.7560000000001
138,33172,98,11,45.062
139,33172,99,16,233.785
140,33172,99,3,18.319000000000003
141,33172,99,11,20.287
142,33172,100,11,19.463
143,33172,101,1,29.951999999999998
144,33172,101,11,20.787
145,33172,102,11,23.201999999999998
146,33172,103,3,17.250999999999998
147,33172,103,1,12.547
148,33172,103,11,21.066
149,33172,104,43,2111.1620000000003
150,33172,104,32,267.39099999999996
151,33172,104,11,18.285999999999998
152,33172,105,83,379.523
153,33172,105,9,251.046
154,33172,105,11,62.876999999999995
155,33172,106,1,21.391
156,33172,106,11,22.76
157,33172,107,43,91.544
158,33172,107,82,2.702
159,33172,107,11,18.114
160,33172,108,11,23.677
161,33172,109,1,24.496
162,33172,109,11,20.654
163,33172,110,11,24.409000000000002
164,33172,111,18,61.75899999999999
165,33172,112,32,7.785
166,33172,112,9,400.663
167,33172,113,12,15.982999999999999
168,33172,113,11,16.441
169,33172,114,1,38.422
170,33172,114,11,20.517
171,33172,115,11,19.051
172,33172,116,1,5.607
173,33172,116,11,41.17
174,33172,117,18,80.044
175,33172,117,1,59.99100000000001
176,33172,119,82,10.487
177,33172,119,35,54.47
178,33172,119,1,35.72
179,33172,120,24,91.544
180,33172,120,1,37.607
181,33172,120,11,37.607
182,33172,122,18,52.098
183,33172,122,83,9.057
184,33172,122,1,39.548
185,33172,122,9,179.518
186,33172,123,1,216.23
187,33172,123,11,16.395
188,33172,124,11,4.27
189,33172,126,24,190.235
190,33172,127,1,51.336000000000006
191,33172,129,12,13.600999999999999
192,33172,129,11,22.165
193,33172,130,11,20.379
194,33172,131,1,45.413000000000004
195,33172,131,12,4.27
196,33172,131,11,23.849
197,33172,132,3,18.319000000000003
198,33172,132,9,544.055
199,33172,132,11,38.986999999999995
200,33172,133,23,387.717
201,33172,134,11,14.62
202,33172,135,1,40.803000000000004
203,33172,135,11,13.24
204,33172,136,11,15.785
205,33172,137,18,96.85700000000001
206,33172,137,11,18.639
207,33172,138,82,2.702
208,33172,138,24,729.564
209,33172,139,3,22.898000000000003
210,33172,140,12,12.55
211,33172,140,84,250.14
212,33172,142,32,7.331
213,33172,143,1,32.691
214,33172,145,1,34.621
215,33172,146,4,7.03
216,33172,146,1,10.853
217,33172,146,84,114.48899999999999
218,33172,147,32,7.785
219,33172,147,1,8.884
220,33172,148,82,9.877
221,33172,148,1,30.225
222,33172,148,9,127.054
223,33172,149,4,38.728
224,33172,149,1,42.567
225,33172,150,58,5.822
226,33172,150,9,293.95799999999997
227,33172,150,11,16.432000000000002
228,33172,151,1,348.37800000000004
229,33172,151,11,23.504
230,33172,152,32,138.009
231,33172,152,18,54.513000000000005
232,33172,153,12,52.298
233,33172,154,12,77.414
234,33172,163,11,20.745
235,33172,164,11,17.250999999999998
236,33172,166,11,17.31
237,33172,168,82,2.544
238,33172,168,15,19.45
239,33172,168,32,27.476999999999997
240,33172,169,54,776.297
241,33172,169,11,20.242
242,33172,170,44,112.305
243,33172,170,11,17.357
244,33172,171,11,14.965
245,33172,172,11,7.202000000000001
246,33172,173,4,5.038
247,33172,173,11,15.02
248,33172,174,18,72.54
249,33172,175,1,102.994
250,33172,175,9,415.18
251,33172,175,11,25.645
252,33172,179,82,10.487
253,33172,179,1,95.84299999999999
254,33172,179,11,12.335
255,33172,180,21,376.085
256,33172,180,11,11.127
257,33172,182,1,18.547
258,33172,183,44,58.61
259,33172,183,85,301.893
260,33172,184,9,200.4
261,33172,185,32,8.798
262,33172,185,11,14.059000000000001
263,33172,186,4,30.065
264,33172,186,1,5.779
265,33172,186,11,14.196
266,33172,187,11,14.275
267,33172,189,35,23.585
268,33172,189,9,705.9989999999999
269,33172,190,80,130.013
270,33172,191,11,13.413
271,33172,193,11,16.166
272,33172,194,21,64.843
273,33172,194,1,174.331
274,33172,194,12,8.289
275,33172,194,11,15.095
276,33172,195,12,7.246
